Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Species,#2 Species
ISLAND SLOUGH,10/24,13,23,1,24,1.77,0.08,1.85,15,8,AGWT,NSHO
KESTERSON,10/23,100,359,0,359,3.59,,3.59,146,61,NSHO,MALL
KESTERSON,10/24,55,177,6,183,3.22,0.11,3.33,78,42,AGWT,NSHO
LOS BANOS,10/23,255,938,8,946,3.68,0.03,3.71,414,179,MALL,NSHO
LOS BANOS,10/24,157,305,0,305,1.94,,1.94,136,55,MALL,AGWT
MENDOTA,10/23,664,2709,2,2711,4.08,,4.08,948,767,AGWT,NSHO
MENDOTA,10/24,296,545,0,545,1.84,,1.84,176,128,AGWT,NSHO
MERCED,10/23,25,90,2,92,3.60,0.08,3.68,42,22,NSHO,MALL
NORTH FRIETAS,10/23,44,182,0,182,4.14,,4.14,140,14,MALL,AGWT
NORTH FRIETAS,10/24,30,120,0,120,4.00,,4.00,56,51,AGWT,MALL
SOUTH FRIETAS,10/23,40,142,0,142,3.55,,3.55,84,31,MALL,AGWT
SOUTH FRIETAS,10/24,36,101,0,101,2.81,,2.81,41,36,MALL,AGWT
SALT SLOUGH,10/23,95,367,0,367,3.86,,3.86,151,74,MALL,Cinnamon Teal
SALT SLOUGH,10/24,46,83,1,84,1.80,0.02,1.83,36,16,MALL,Cinnamon Teal
SAN LUIS,10/23,142,488,0,488,3.44,,3.44,140,138,NSHO,AGWT
SAN LUIS,10/24,91,304,3,307,3.34,0.03,3.37,200,45,AGWT,MALL
VOLTA,10/23,145,696,3,699,4.80,0.02,4.82,242,204,NSHO,MALL
VOLTA,10/24,58,175,0,175,3.02,,3.02,49,41,MALL,NSHO
YOLO,10/23,140,435,16,451,3.11,0.11,3.22,221,95,NSHO,MALL
YOLO,10/24,80,87,10,97,1.09,0.13,1.21,25,17,NSHO,MALL
CHINA ISLAND,10/27,11,10,0,10,0.91,,0.91,5,3,MALL,AGWT
CHINA ISLAND,10/30,20,34,0,34,1.70,,1.70,17,5,MALL,WDDU
CHINA ISLAND,10/31,13,21,0,21,1.62,,1.62,16,3,MALL,AGWT
COLUSA,10/27,56,131,7,138,2.34,0.13,2.46,29,24,MALL,NSHO
COLUSA,10/30,103,205,3,208,1.99,0.03,2.02,39,35,NSHO,RING
COLUSA,10/31,70,129,4,133,1.84,0.06,1.90,35,32,MALL,AGWT
HOWARD SLOUGH,10/27,34,85,0,85,2.50,,2.50,29,23,AMWI,MALL
HOWARD SLOUGH,10/30,50,115,0,115,2.30,,2.30,26,25,MALL,AGWT
HOWARD SLOUGH,10/31,30,73,0,73,2.43,,2.43,24,11,WDDU,AMWI
LITTLE DRY CREEK,10/27,61,235,6,241,3.85,0.10,3.95,83,55,MALL,AMWI
LITTLE DRY CREEK,10/30,81,195,1,196,2.41,0.01,2.42,57,44,MALL,WDDU
LITTLE DRY CREEK,10/31,63,115,2,117,1.83,0.03,1.86,41,18,MALL,AMWI
LLANO SECO,10/27,20,40,0,40,2.00,,2.00,15,5,AMWI,WDDU
LLANO SECO,10/30,29,50,0,50,1.72,,1.72,20,7,AMWI,Cinnamon Teal
LLANO SECO,10/31,13,16,0,16,1.23,,1.23,5,5,AGWT,NSHO
SACRAMENTO,10/27,153,514,67,581,3.36,0.44,3.80,120,91,AMWI,NSHO
SACRAMENTO,10/30,179,539,60,599,3.01,0.34,3.35,102,86,AMWI,NSHO
SACRAMENTO,10/31,144,272,20,292,1.89,0.14,2.03,48,48,MALL,NSHO
SUTTER,10/27,82,140,6,146,1.71,0.07,1.78,58,31,MALL,AMWI
SUTTER,10/30,86,160,2,162,1.86,0.02,1.88,64,26,MALL,AGWT
SUTTER,10/31,75,122,8,130,1.63,0.11,1.73,41,16,MALL,AGWT
DELEVAN,11/3,131,314,29,343,2.40,0.22,2.62,88,70,MALL,AMWI
DELEVAN,11/6,194,614,42,656,3.16,0.22,3.38,194,129,MALL,AMWI
DELEVAN,11/7,173,342,55,397,1.98,0.32,2.29,68,68,GADW,NSHO
GRAY LODGE,11/3,140,166,18,184,1.19,0.13,1.31,47,24,MALL,AMWI
GRAY LODGE,11/6,532,167,2,169,0.31,0.00,0.32,47,26,MALL,NSHO
GRAY LODGE,11/7,316,123,24,147,0.39,0.08,0.47,27,17,MALL,WDDU
SACRAMENTO,11/3,133,408,9,417,3.07,0.07,3.14,120,69,GADW,NSHO
SACRAMENTO,11/6,184,419,23,442,2.28,0.13,2.40,113,77,GADW,NSHO
SACRAMENTO,11/7,155,134,8,142,0.86,0.05,0.92,19,19,NSHO,GADW
SUTTER,11/3,72,112,2,114,1.56,0.03,1.58,53,13,MALL,NSHO
SUTTER,11/6,77,140,2,142,1.82,0.03,1.84,65,20,MALL,NSHO
SUTTER,11/7,66,49,4,53,0.74,0.06,0.80,15,5,MALL,GADW
DELEVAN,12/1,154,392,12,404,2.55,0.08,2.62,111,95,GADW,NSHO
DELEVAN,12/4,120,406,10,416,3.38,0.08,3.47,119,103,GADW,NSHO
DELEVAN,12/5,148,265,11,276,1.79,0.07,1.86,74,51,NSHO,GADW
GRAY LODGE,12/1,141,195,16,211,1.38,0.11,1.50,47,40,MALL,NSHO
GRAY LODGE,12/4,243,327,40,367,1.35,0.16,1.51,98,69,MALL,AMWI
GRAY LODGE,12/5,137,188,31,219,1.37,0.23,1.60,35,32,NSHO,AMWI
SACRAMENTO,12/1,125,385,8,393,3.08,0.06,3.14,113,65,GADW,NSHO
SACRAMENTO,12/4,186,455,1384,1839,2.45,0.11,2.55,181,88,GADW,MALL
SACRAMENTO,12/5,148,172,7,179,1.16,0.05,1.21,34,34,GADW,NSHO
SUTTER,12/1,81,87,1,88,1.07,0.01,1.09,22,15,AGWT,MALL
SUTTER,12/4,79,185,0,185,2.34,,2.34,57,43,AGWT,AMWI
SUTTER,12/5,66,71,2,73,1.08,0.03,1.11,23,15,AGWT,AMWI
DELEVAN,12/22,165,403,17,420,2.44,0.10,2.55,127,106,GADW,NSHO
DELEVAN,12/23,108,154,16,170,1.43,0.15,1.57,35,35,AMWI,NSHO
GRAY LODGE,12/22,211,377,25,402,1.79,0.04,1.91,114,71,MALL,AMWI
GRAY LODGE,12/23,96,178,37,215,1.85,0.16,2.24,39,29,MALL,AMWI
SACRAMENTO,12/22,198,278,38,316,1.40,0.16,1.60,76,70,GADW,NSHO
SACRAMENTO,12/23,98,85,5,90,0.87,0.05,0.92,19,18,NSHO,GADW
SUTTER,12/22,82,196,2,198,2.39,0.02,2.41,88,44,AGWT,MALL
SUTTER,12/23,25,95,0,95,3.80,,3.80,47,28,AGWT,MALL
DELEVAN,1/5,172,587,35,622,3.41,0.20,3.62,175,145,GADW,NSHO
DELEVAN,1/6,127,230,22,252,1.81,0.17,1.98,71,64,NSHO,GADW
GRAY LODGE,1/5,275,485,45,530,1.76,0.16,1.93,103,99,GADW,MALL
GRAY LODGE,1/6,136,193,26,219,1.42,0.19,1.61,33,31,MALL,AMWI
SACRAMENTO,1/5,194,417,20,437,2.15,0.10,2.25,105,101,NSHO,GADW
SACRAMENTO,1/6,137,136,18,154,0.99,0.13,1.12,34,31,NSHO,MALL
SUTTER,1/5,83,304,50,354,3.66,0.60,4.27,87,73,AGWT,AMWI
SUTTER,1/6,95,172,15,187,1.81,0.16,1.97,55,52,AGWT,AMWI
DELEVAN,1/12,178,988,40,1028,5.55,0.22,5.78,236,222,AGWT,GADW
DELEVAN,1/13,142,488,19,507,3.44,0.13,3.57,155,118,GADW,NSHO
GRAY LODGE,1/12,265,944,181,1125,3.56,0.68,4.25,185,180,MALL,GADW
GRAY LODGE,1/13,188,473,96,569,2.52,0.51,3.03,108,92,MALL,GADW
SACRAMENTO,1/12,203,776,55,831,3.82,0.27,4.09,166,158,GADW,NSHO
SACRAMENTO,1/13,130,324,72,396,2.49,0.55,3.05,92,81,GADW,MALL
SUTTER,1/12,92,464,87,551,5.04,0.95,5.99,177,124,AMWI,MALL
SUTTER,1/13,105,331,59,390,3.15,0.56,3.71,104,77,AMWI,MALL
DELEVAN,1/26,182,458,106,564,2.52,0.58,3.10,117,104,GADW,AGWT
DELEVAN,1/27,166,221,27,248,1.33,0.16,1.49,54,44,AGWT,GADW
DELEVAN,1/30,131,230,11,241,1.76,0.08,1.84,87,55,AGWT,GADW
GRAY LODGE,1/26,230,483,1,484,2.10,0.00,2.10,135,105,AGWT,AMWI
GRAY LODGE,1/27,120,132,3,135,1.10,0.03,1.13,41,27,AGWT,MALL
GRAY LODGE,1/30,121,115,2,117,0.95,0.02,0.97,42,21,AGWT,NSHO
SACRAMENTO,1/26,244,598,114,712,2.45,0.47,2.92,139,121,GADW,AGWT
SACRAMENTO,1/27,185,153,68,221,0.83,0.37,1.20,30,22,NSHO,GADW
SACRAMENTO,1/30,165,115,10,125,0.70,0.06,0.76,33,26,NSHO,GADW
SUTTER,1/26,106,273,75,348,2.58,0.71,3.28,58,42,MALL,GADW
SUTTER,1/27,98,242,57,299,2.47,0.58,3.05,87,50,AGWT,MALL
SUTTER,1/30,78,102,6,108,1.31,0.08,1.38,36,20,AGWT,NSHO
