Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species
HONEY LAKE-FLEMING,10/22,8,34,34,4.25,,4.25,11,9,MALL,GADW
HONEY LAKE-FLEMING,10/25,25,89,89,3.56,,3.56,48,15,MALL,GADW
HONEY LAKE-FLEMING,10/26,13,54,54,4.15,,4.15,26,15,MALL,GADW
WILLOW CREEK,10/15,4,6,8,1.50,0.50,2.00,3,2,MALL,GADW
WILLOW CREEK,10/18,1,0,0,,,,0,0,,
WILLOW CREEK,10/22,5,8,9,1.60,0.20,1.80,4,3,MALL,GADW
WILLOW CREEK,10/25,1,0,0,,,,0,0,,
WILLOW CREEK,10/26,4,19,19,4.75,,4.75,8,5,GADW,AMWI
ASH CREEK,10/29,5,7,8,1.40,0.20,1.60,2,2,GADW,AMWI
ASH CREEK,11/1,11,36,36,3.27,,3.27,15,12,AMWI,MALL
ASH CREEK,11/2,8,19,19,2.38,,2.38,13,4,AMWI,MALL
BUTTE VALLEY,10/22,7,14,16,2.00,0.29,2.29,5,5,GWTL,SHOV
BUTTE VALLEY,10/25,9,31,31,3.44,,3.44,13,7,GWTL,GADW
BUTTE VALLEY,10/26,1,1,1,1.00,,1.00,1,0,PNTL,
CHINA ISLAND (NO.GL),10/25,36,106,130,2.94,0.67,3.61,65,22,MALL,WDDU
CHINA ISLAND (NO.GL),10/26,29,88,111,3.03,0.79,3.83,26,23,MALL,SHOV
DELEVAN,10/25,255,969,1173,3.80,0.80,4.60,192,176,MALL,SHOV
DELEVAN,10/26,183,401,527,2.19,0.69,2.88,96,61,PNTL,GWTL
FINNEY-RAMER,10/25,13,26,26,2.00,,2.00,10,8,SHOV,GWTL
FINNEY-RAMER,10/26,7,10,10,1.43,,1.43,3,3,SHOV,GWTL
GADWALL (NO.GL),10/25,39,221,221,5.67,,5.67,71,69,GWTL,CINT
GADWALL (NO.GL),10/26,32,139,140,4.34,0.03,4.38,58,44,GWTL,CINT
GOODYEAR SLOUGH,10/25,20,24,25,1.20,0.05,1.25,16,3,SHOV,MALL
GOODYEAR SLOUGH,10/26,13,2,4,0.15,0.15,0.31,2,0,SHOV,
GRIZZLY ISLAND,10/25,417,1818,1837,4.36,0.05,4.41,560,401,SHOV,MALL
GRIZZLY ISLAND,10/26,176,411,412,2.34,0.006,2.34,135,116,SHOV,GWTL
KERN,10/22,63,223,223,3.54,,3.54,52,45,GWTL,GADW
KERN,10/25,62,198,211,3.19,0.21,3.40,38,37,GWTL,REDH
ISLAND SLOUGH,10/25,46,164,164,3.57,,3.57,96,61,GWTL,SHOV
ISLAND SLOUGH,10/26,13,23,24,1.77,0.08,1.85,15,8,GWTL,SHOV
KESTERSON,10/25,100,359,359,3.59,,3.59,146,61,SHOV,MALL
KESTERSON,10/26,55,177,183,3.22,0.11,3.33,78,42,GWTL,SHOV
LOS BANOS,10/25,255,938,946,3.68,0.03,3.71,414,179,MALL,SHOV
LOS BANOS,10/26,157,305,305,1.94,,1.94,136,55,MALL,GWTL
MENDOTA,10/25,664,2709,2711,4.08,,4.08,948,767,GWTL,SHOV
MENDOTA,10/26,296,545,545,1.84,,1.84,176,128,GWTL,SHOV
MERCED,10/25,25,90,92,3.60,0.08,3.68,42,22,SHOV,MALL
NORTH FRIETAS,10/25,44,182,182,4.14,,4.14,140,14,MALL,GWTL
NORTH FRIETAS,10/26,30,120,120,4.00,,4.00,56,51,GWTL,MALL
SOUTH FRIETAS,10/25,40,142,142,3.55,,3.55,84,31,MALL,GWTL
SOUTH FRIETAS,10/26,36,101,101,2.81,,2.81,41,36,MALL,GWTL
SALT SLOUGH (NO.GL),10/25,95,367,367,3.86,,3.86,151,74,MALL,CINT
SALT SLOUGH (NO.GL),10/26,46,83,84,1.80,0.02,1.83,36,16,MALL,CINT
SALTON SEA NWR,10/25,50,130,132,2.60,0.04,2.64,56,30,CINT,GWTL
SALTON SEA NWR,10/26,13,5,5,0.38,,0.38,2,1,REDH,MALL
SAN JACINTO,10/25,109,460,460,4.22,,4.22,185,131,CINT,SHOV
SAN LUIS,10/25,142,488,488,3.44,,3.44,140,138,SHOV,GWTL
SAN LUIS,10/26,91,304,307,3.34,0.03,3.37,200,45,GWTL,MALL
SHASTA VALLEY,10/22,29,87,89,3.00,0.07,3.07,41,18,GWTL,MALL
SHASTA VALLEY,10/25,20,65,70,3.25,0.25,3.50,34,14,GWTL,PNTL
SHASTA VALLEY,10/26,18,17,17,0.94,,0.94,7,6,PNTL,GWTL
VOLTA,10/25,145,696,699,4.80,0.02,4.82,256,216,SHOV,MALL
VOLTA,10/26,58,175,175,3.02,,3.02,49,41,MALL,SHOV
WISTER,10/25,444,1766,1782,3.98,0.04,4.01,827,302,GWTL,CINT
WISTER,10/26,294,374,376,1.27,0.007,1.28,175,67,GWTL,CINT
WEST FAMILY JR UNIT,10/25,5,13,13,2.60,,2.60,7,3,SHOV,AMWI
WEST FAMILY JR UNIT,10/26,1,1,1,1.00,,1.00,1,0,MALL,
ASH CREEK,11/5,3,14,14,4.67,,4.67,6,5,AMWI,GWTL
ASH CREEK,11/8,7,19,19,2.71,,2.71,7,6,MALL,AMWI
ASH CREEK,11/9,6,3,3,0.50,,0.50,1,1,MALL,GADW
COLUSA,11/8,147,649,684,4.41,0.24,4.65,144,112,SHOV,GWTL
COLUSA,11/9,91,167,177,1.84,0.11,1.95,45,34,MALL,PNTL
GRAY LODGE,11/8,543,3144,3158,5.79,0.03,5.82,955,492,GWTL,MALL
GRAY LODGE,11/9,319,923,943,2.89,0.06,2.96,251,170,GWTL,MALL
HOWARD SLOUGH (UBB),11/8,50,246,246,4.92,,4.92,94,30,MALL,AMWI
HOWARD SLOUGH (UBB),11/9,40,76,82,1.90,0.15,2.05,23,16,MALL,CINT
KERN,11/5,76,241,259,3.17,0.24,3.41,44,40,GADW,SHOV
KERN,11/8,80,283,291,3.54,0.10,3.64,85,47,SHOV,GWTL
LITTLE DRY CR. (UBB),11/8,91,408,421,4.48,0.14,4.63,160,85,MALL,GADW
LITTLE DRY CR. (UBB),11/9,94,212,216,2.26,0.04,2.30,68,49,MALL,WDDU
LLANO SECO (UBB),11/8,23,58,58,2.52,,2.52,23,10,GWTL,AMWI
LLANO SECO (UBB),11/9,22,40,41,1.82,0.05,1.86,16,7,GWTL,AMWI
SACRAMENTO,11/8,336,1290,1509,3.84,0.65,4.49,245,237,SHOV,MALL
SACRAMENTO,11/9,216,341,477,1.58,0.63,2.21,75,54,PNTL,SHOV
SUTTER,11/8,91,169,171,1.86,0.02,1.88,68,27,MALL,GWTL
SUTTER,11/9,80,130,138,1.63,0.10,1.73,44,17,MALL,GWTL
YOLO,11/8,140,435,451,3.11,0.11,3.22,221,95,SHOV,MALL
YOLO,11/9,80,87,97,1.09,0.13,1.21,25,17,SHOV,MALL
CHINA ISLAND (NO.GL),11/12,12,11,11,0.92,,0.92,6,3,MALL,GWTL
CHINA ISLAND (NO.GL),11/15,21,36,36,1.71,,1.71,18,5,MALL,WDDU
CHINA ISLAND (NO.GL),11/16,14,23,23,1.64,,1.64,17,3,MALL,GWTL
ASH CREEK,11/12,5,15,16,3.00,0.20,3.20,5,4,MALL,AMWI
ASH CREEK,11/15,17,24,26,1.41,0.12,1.53,10,5,AMWI,BUFH
ASH CREEK,11/16,5,8,11,1.60,0.60,2.20,4,2,BUFH,GWTL
DELEVAN,11/12,157,512,587,3.26,0.48,3.74,115,94,AMWI,GADW
DELEVAN,11/15,174,481,523,2.76,0.24,3.01,101,100,MALL,SHOV
DELEVAN,11/16,161,315,357,1.96,0.26,2.22,81,54,GWTL,MALL
BUTTE VALLEY,11/12,10,43,43,4.30,,4.30,18,11,GWTL,AMWI
BUTTE VALLEY,11/15,40,117,118,2.93,0.03,2.95,31,26,GWTL,AMWI
BUTTE VALLEY,11/16,10,13,13,1.30,,1.30,5,3,MALL,AMWI
FINNEY-RAMER,11/12,2,3,3,1.50,,1.50,2,1,GWTL,SHOV
FINNEY-RAMER,11/14,3,5,5,1.67,,1.67,4,1,GWTL,CINT
FINNEY-RAMER,11/15,4,8,8,2.00,,2.00,5,3,GWTL,SHOV
FINNEY-RAMER,11/16,1,3,3,3.00,,3.00,1,1,GWTL,CINT
COLUSA,11/12,59,139,146,2.36,0.12,2.47,31,25,MALL,SHOV
COLUSA,11/15,109,217,220,1.99,0.03,2.02,41,37,SHOV,RNDU
COLUSA,11/16,74,137,141,1.85,0.05,1.91,37,34,MALL,GWTL
GADWALL (NO.GL),11/12,22,40,40,1.82,,1.82,15,13,GWTL,CINT
GADWALL (NO.GL),11/15,33,80,81,2.42,0.03,2.45,31,16,GWTL,CINT
GADWALL (NO.GL),11/16,21,34,34,1.62,,1.62,10,9,GWTL,SHOV
GOODYEAR SLOUGH,11/12,7,4,4,0.57,,0.57,2,2,AMWI,PNTL
GOODYEAR SLOUGH,11/15,9,10,10,1.11,,1.11,2,2,MALL,AMWI
GOODYEAR SLOUGH,11/16,10,6,6,0.60,,0.60,4,1,SHOV,GWTL
GRAY LODGE,11/12,153,463,474,3.03,0.07,3.10,90,75,MALL,GADW
GRAY LODGE,11/15,317,494,520,1.56,0.08,1.64,130,82,GWTL,MALL
GRAY LODGE,11/16,164,236,251,1.44,0.09,1.53,43,42,WDDU,MALL
GRIZZLY ISLAND,11/12,69,106,123,1.54,0.25,1.78,41,15,SHOV,MALL
GRIZZLY ISLAND,11/15,133,170,178,1.28,0.06,1.34,51,31,SHOV,GWTL
GRIZZLY ISLAND,11/16,50,68,71,1.36,0.06,1.42,20,16,SHOV,MALL
HONEY LAKE-DAKIN,11/12,25,144,156,5.76,0.48,6.24,40,27,MALL,AMWI
HONEY LAKE-DAKIN,11/15,36,120,123,3.33,0.08,3.42,32,26,MALL,GWTL
HONEY LAKE-DAKIN,11/16,23,19,20,0.83,0.04,0.87,6,5,SHOV,AMWI
HONEY LAKE-FLEMING,11/12,15,52,52,3.47,,3.47,22,11,MALL,GWTL
HONEY LAKE-FLEMING,11/15,18,32,33,1.78,0.06,1.83,10,6,MALL,PNTL
HONEY LAKE-FLEMING,11/16,13,13,14,1.00,0.08,1.08,3,2,GWTL,MALL
HOWARD SLOUGH (UBB),11/12,36,90,90,2.50,,2.50,31,24,AMWI,MALL
HOWARD SLOUGH (UBB),11/15,53,122,122,2.30,,2.30,28,27,MALL,GWTL
HOWARD SLOUGH (UBB),11/16,32,77,77,2.41,,2.41,25,12,WDDU,AMWI
ISLAND SLOUGH,11/12,5,4,4,0.80,,0.80,3,1,MALL,SHOV
ISLAND SLOUGH,11/15,12,8,10,0.67,0.17,0.83,4,2,SHOV,GWTL
ISLAND SLOUGH,11/16,4,0,0,,,,0,0,,
KESTERSON,11/12,32,32,32,1.00,,1.00,14,11,GWTL,SHOV
KESTERSON,11/15,61,95,98,1.56,0.05,1.61,33,29,MALL,GWTL
KESTERSON,11/16,32,24,24,0.75,,0.75,9,5,MALL,GWTL
LITTLE DRY CR. (UBB),11/12,65,250,256,3.85,0.09,3.94,88,58,MALL,AMWI
LITTLE DRY CR. (UBB),11/15,86,207,208,2.41,0.01,2.42,61,47,MALL,WDDU
LITTLE DRY CR. (UBB),11/16,67,122,125,1.82,0.04,1.87,44,19,MALL,AMWI
LLANO SECO (UBB),11/12,21,42,42,2.00,,2.00,16,5,AMWI,WDDU
LLANO SECO (UBB),11/15,31,53,53,1.71,,1.71,21,8,AMWI,CINT
LLANO SECO (UBB),11/16,14,17,17,1.21,,1.21,5,5,GWTL,SHOV
LOS BANOS,11/12,59,121,121,2.05,,2.05,40,33,MALL,GWTL
LOS BANOS,11/15,107,323,326,3.02,0.03,3.05,109,101,GWTL,MALL
LOS BANOS,11/16,60,67,67,1.12,,1.12,31,8,MALL,GWTL
MENDOTA,11/12,93,124,136,1.33,0.13,1.46,30,21,SHOV,MALL
MENDOTA,11/15,193,504,514,2.61,0.05,2.66,188,91,GWTL,MALL
MENDOTA,11/16,123,198,208,1.61,0.08,1.69,56,39,GWTL,MALL
MERCED,11/12,15,37,37,2.47,,2.47,17,6,SHOV,MALL
MERCED,11/15,22,31,31,1.41,,1.41,19,3,MALL,PNTL
NORTH FRIETAS,11/12,7,9,9,1.29,,1.29,5,2,MALL,GWTL
NORTH FRIETAS,11/15,16,44,44,2.75,,2.75,35,4,MALL,GWTL
NORTH FRIETAS,11/16,11,32,32,2.91,,2.91,18,11,MALL,GWTL
SOUTH FRIETAS,11/12,5,12,12,2.40,,2.40,7,5,MALL,GWTL
SOUTH FRIETAS,11/15,19,26,26,1.37,,1.37,11,9,MALL,GWTL
SOUTH FRIETAS,11/16,8,4,4,0.50,,0.50,3,1,MALL,GADW
SALT SLOUGH (NO.GL),11/12,27,27,27,1.00,,1.00,16,8,MALL,GWTL
SALT SLOUGH (NO.GL),11/15,45,54,54,1.20,,1.20,27,16,MALL,GWTL
SALT SLOUGH (NO.GL),11/16,23,30,30,1.30,,1.30,10,8,MALL,PNTL
SALTON SEA NWR,11/12,3,6,6,2.00,,2.00,4,1,RNDU,SCAU
SALTON SEA NWR,11/15,11,12,22,1.09,1.00,2.09,5,4,SHOV,GWTL
SALTON SEA NWR,11/16,3,0,4,,1.33,1.33,0,10,,
SACRAMENTO,11/12,163,546,618,3.35,0.44,3.79,128,97,AMWI,SHOV
SACRAMENTO,11/15,190,573,637,3.02,0.34,3.35,108,91,AMWI,SHOV
SACRAMENTO,11/16,153,289,310,1.89,0.14,2.03,51,51,MALL,SHOV
SAN JACINTO,11/12,105,247,253,2.35,0.06,2.41,74,46,GWTL,CINT
SAN JACINTO,11/15,105,158,162,1.50,0.04,1.54,37,28,GWTL,SHOV
SAN LUIS,11/12,57,103,103,1.81,,1.81,63,18,GWTL,MALL
SAN LUIS,11/15,96,130,130,1.35,,1.35,56,36,GWTL,MALL
SAN LUIS,11/16,40,38,39,0.95,0.03,0.98,15,14,GWTL,MALL
SHASTA VALLEY,11/12,21,78,79,3.71,0.05,3.76,25,20,GWTL,MALL
SHASTA VALLEY,11/15,37,81,82,2.19,0.03,2.22,20,19,GWTL,MALL
SHASTA VALLEY,11/16,5,5,11,1.00,1.20,2.20,2,1,GWTL,MALL
SUTTER,11/12,87,149,155,1.71,0.07,1.78,62,33,MALL,AMWI
SUTTER,11/15,91,170,172,1.87,0.02,1.89,68,27,MALL,GWTL
SUTTER,11/16,80,130,139,1.63,0.11,1.74,44,17,MALL,GWTL
VOLTA,11/12,29,23,24,0.79,,0.83,6,5,MALL,SHOV
VOLTA,11/15,31,60,60,1.94,,1.94,22,13,MALL,CINT
VOLTA,11/16,11,15,15,1.36,,1.36,6,6,MALL,SHOV
WILLOW CREEK,11/12,6,22,22,3.67,,3.67,9,5,GWTL,MALL
WILLOW CREEK,11/15,7,28,29,4.00,0.14,4.14,9,5,MALL,AMWI
WILLOW CREEK,11/16,5,8,11,1.60,0.60,2.20,3,3,MALL,AMWI
WISTER,11/12,60,169,189,2.82,0.33,3.15,49,41,SHOV,AMWI
WISTER,11/15,141,359,396,2.55,0.26,2.81,105,102,AMWI,SHOV
WISTER,11/16,82,46,51,0.56,0.06,0.62,12,11,GWTL,SHOV
YOLO,11/12,81,119,134,1.47,0.19,1.65,44,19,SHOV,MALL
YOLO,11/15,107,126,161,1.18,0.33,1.50,32,25,SHOV,MALL
YOLO,11/16,86,41,52,0.48,0.13,0.60,21,4,SHOV,GADW
YOLO,11/17,66,70,87,1.06,0.26,1.32,13,13,MALL,SHOV
WEST FAMILY JR,11/12,2,1,1,0.50,,0.50,1,0,SHOV,
WEST FAMILY JR,11/15,0,0,0,,,,0,0,,
WEST FAMILY JR,11/16,2,1,1,0.50,,0.50,1,0,SHOV,
ASH CREEK,11/19,6,11,11,1.83,,1.83,7,2,AMWI,GADW
ASH CREEK,11/22,25,16,16,0.64,,0.64,13,2,BUFH,GADW
ASH CREEK,11/23,11,2,2,0.18,,0.18,1,1,MALL,BUFH
DELEVAN,11/19,131,314,343,2.40,0.22,2.62,88,70,MALL,AMWI
DELEVAN,11/22,194,614,656,3.16,0.22,3.38,194,129,MALL,AMWI
DELEVAN,11/23,173,342,397,1.98,0.32,2.29,68,68,GADW,SHOV
BUTTE VALLEY,11/19,19,40,41,2.11,0.05,2.16,11,6,GWTL,AMWI
BUTTE VALLEY,11/22,36,142,144,3.94,0.06,4.00,55,33,GWTL,SHOV
BUTTE VALLEY,11/23,14,21,21,1.50,,1.50,8,6,MALL,SHOV
FINNEY-RAMER,11/19,3,4,4,1.33,,1.33,2,1,GWTL,CINT
FINNEY-RAMER,11/20,1,3,3,3.00,,3.00,2,1,GWTL,SHOV
FINNEY-RAMER,11/21,3,5,5,1.67,,1.67,5,0,GWTL,
FINNEY-RAMER,11/22,5,9,9,1.80,,1.80,8,1,GWTL,SHOV
FINNEY-RAMER,11/23,2,4,4,2.00,,2.00,2,1,SHOV,GWTL
COLUSA,11/19,62,98,100,1.58,0.03,1.61,37,16,MALL,GADW
COLUSA,11/22,96,220,225,2.29,0.05,2.34,50,49,MALL,SHOV
COLUSA,11/23,66,85,89,1.29,0.06,1.35,22,21,MALL,GADW
GADWALL (NO.GL),11/19,14,23,23,1.64,,1.64,7,5,SHOV,GWTL
GADWALL (NO.GL),11/22,18,51,51,2.83,,2.83,23,14,CINT,SHOV
GADWALL (NO.GL),11/23,18,46,48,2.56,0.11,2.67,19,10,SHOV,CINT
GOLD HILLS,11/19,3,0,0,,,,0,0,,
GOODYEAR SLOUGH,11/19,13,7,7,0.54,,0.54,4,2,AMWI,MALL
GOODYEAR SLOUGH,11/22,9,10,10,1.11,,1.11,5,3,SHOV,MALL
GOODYEAR SLOUGH,11/23,6,4,4,0.67,,0.67,2,2,MALL,SCAU
GRAY LODGE,11/19,140,166,184,1.19,0.13,1.31,47,24,MALL,AMWI
GRAY LODGE,11/22,532,167,169,0.31,0.004,0.32,47,26,MALL,SHOV
GRAY LODGE,11/23,316,123,147,0.39,0.08,0.47,27,17,MALL,WDDU
GRIZZLY ISLAND,11/19,69,144,147,2.09,0.04,2.13,44,24,SHOV,MALL
GRIZZLY ISLAND,11/22,338,187,191,0.55,0.01,0.57,77,33,SHOV,MALL
GRIZZLY ISLAND,11/23,120,23,23,0.19,,0.19,7,6,SHOV,PNTL
HONEY LAKE-DAKIN,11/19,37,113,113,3.05,,3.05,50,29,MALL,AMWI
HONEY LAKE-DAKIN,11/22,56,54,56,0.96,0.04,1.00,24,12,MALL,GADW
HONEY LAKE-DAKIN,11/23,26,10,10,0.38,,0.38,6,2,AMWI,GADW
HONEY LAKE-FLEMING,11/19,27,71,74,2.63,0.11,2.74,26,20,MALL,GADW
HONEY LAKE-FLEMING,11/22,65,49,49,0.75,,0.75,17,11,GADW,MALL
HONEY LAKE-FLEMING,11/23,42,14,14,0.33,,0.33,5,3,GADW,MALL
HOWARD SLOUGH (UBB),11/19,27,46,46,1.70,,1.70,26,6,MALL,AMWI
HOWARD SLOUGH (UBB),11/22,85,76,76,0.89,,0.89,29,14,MALL,GWTL
HOWARD SLOUGH (UBB),11/23,73,26,26,0.36,,0.36,9,9,MALL,WDDU
ISLAND SLOUGH,11/19,8,9,10,1.13,0.13,1.25,3,2,MALL,GADW
ISLAND SLOUGH,11/22,18,10,10,0.56,,0.56,5,3,SHOV,MALL
ISLAND SLOUGH,11/23,6,3,3,0.50,,0.50,2,1,MALL,SHOV
KESTERSON,11/19,37,31,31,0.84,,0.84,10,9,SHOV,GWTL
KESTERSON,11/22,73,80,80,1.10,,1.10,28,24,GWTL,SHOV
KESTERSON,11/23,32,17,18,0.53,0.03,0.56,10,5,SHOV,MALL
LITTLE DRY CR. (UBB),11/19,62,192,203,3.10,0.18,3.27,101,30,MALL,WDDU
LITTLE DRY CR. (UBB),11/22,112,251,253,2.24,0.02,2.26,107,37,MALL,GADW
LITTLE DRY CR. (UBB),11/23,105,117,119,1.11,0.02,1.13,64,16,MALL,AMWI
LLANO SECO (UBB),11/19,25,24,24,0.96,,0.96,7,7,MALL,SHOV
LLANO SECO (UBB),11/22,53,58,58,1.09,,1.09,17,12,GWTL,AMWI
LLANO SECO (UBB),11/23,21,16,16,0.76,,0.76,6,5,AMWI,GWTL
LOS BANOS,11/19,55,68,68,1.24,,1.24,35,9,MALL,GADW
LOS BANOS,11/22,149,101,103,0.68,0.01,0.69,37,16,MALL,GWTL
LOS BANOS,11/23,90,41,42,0.46,0.01,0.47,17,9,MALL,SHOV
MENDOTA,11/19,93,185,186,1.99,0.01,2.00,56,34,MALL,SHOV
MENDOTA,11/22,390,369,371,0.95,0.01,0.95,115,95,SHOV,MALL
MENDOTA,11/23,172,76,81,0.44,0.03,0.47,21,20,MALL,SHOV
MERCED,11/19,20,29,29,1.45,,1.45,11,5,MALL,GWTL
MERCED,11/22,11,40,40,3.64,,3.64,17,13,MALL,SHOV
NORTH FRIETAS,11/19,10,17,17,1.70,,1.70,15,3,MALL,GWTL
NORTH FRIETAS,11/22,16,29,29,1.81,,1.81,16,11,MALL,GWTL
NORTH FRIETAS,11/23,5,7,8,1.40,0.20,1.60,6,1,MALL,AMWI
SOUTH FRIETAS,11/19,5,7,7,1.40,,1.40,4,1,GWTL,MALL
SOUTH FRIETAS,11/22,21,17,17,0.81,,0.81,11,5,GWTL,MALL
SOUTH FRIETAS,11/23,15,3,3,0.20,,0.20,1,1,MALL,GADW
SALT SLOUGH (NO.GL),11/19,23,34,34,1.48,,1.48,27,2,MALL,GWTL
SALT SLOUGH (NO.GL),11/22,80,31,31,0.39,,0.39,21,4,MALL,GWTL
SALT SLOUGH (NO.GL),11/23,48,12,12,0.25,,0.25,5,3,MALL,GWTL
SALTON SEA NWR,11/19,3,0,2,,0.67,0.67,0,0,PNTL,
SALTON SEA NWR,11/22,23,21,37,0.91,0.70,1.61,6,6,SHOV,
SALTON SEA NWR,11/23,16,5,8,0.31,0.19,0.50,2,1,MALL,PNTL
SACRAMENTO,11/19,133,408,417,3.07,0.07,3.14,120,69,GADW,SHOV
SACRAMENTO,11/22,184,419,442,2.28,0.13,2.40,113,77,GADW,SHOV
SACRAMENTO,11/23,155,134,142,0.86,0.05,0.92,19,19,SHOV,GADW
SAN JACINTO,11/19,64,179,181,2.80,,2.83,41,40,SHOV,GWTL
SAN JACINTO,11/22,85,162,163,1.91,,1.92,35,34,SHOV,GWTL
SAN LUIS,11/19,29,35,35,1.21,,1.21,16,15,GWTL,MALL
SAN LUIS,11/22,101,104,114,1.03,0.10,1.13,45,20,GWTL,SHOV
SAN LUIS,11/23,67,47,53,0.70,0.09,0.79,16,10,MALL,SHOV
SHASTA VALLEY,11/19,18,22,22,1.22,,1.22,8,7,MALL,PNTL
SHASTA VALLEY,11/22,14,33,33,2.36,,2.36,11,7,MALL,PNTL
SHASTA VALLEY,11/23,43,28,28,0.65,,0.65,15,5,MALL,PNTL
SUTTER,11/19,72,112,114,1.56,0.03,1.58,53,13,MALL,SHOV
SUTTER,11/22,77,140,142,1.82,0.03,1.84,65,20,MALL,SHOV
SUTTER,11/23,66,49,53,0.74,0.06,0.80,15,5,MALL,GADW
VOLTA,11/19,21,8,56,0.38,,2.67,4,1,MALL,GADW
VOLTA,11/22,46,23,48,0.50,0.54,1.04,14,5,MALL,SHOV
VOLTA,11/23,19,5,16,0.26,0.58,0.84,4,1,MALL,GWTL
WILLOW CREEK,11/22,5,24,24,4.80,,4.80,15,4,MALL,GADW
WILLOW CREEK,11/23,5,11,11,2.20,,2.20,3,3,GADW,AMWI
WISTER,11/19,77,124,145,1.61,0.27,1.88,51,24,AMWI,SHOV
WISTER,11/22,225,239,305,1.06,0.29,1.36,64,39,AMWI,GWTL
WISTER,11/23,94,80,102,0.85,0.23,1.09,25,24,SHOV,AMWI
YOLO,11/22,159,73,78,0.46,0.03,0.49,26,10,MALL,PNTL
YOLO,11/23,77,37,44,0.48,0.09,0.57,15,5,SHOV,MALL
WEST FAMILY JR,11/19,0,0,0,,,,0,0,,
WEST FAMILY JR,11/22,8,9,10,1.13,0.13,1.25,8,1,SHOV,GWTL
DELEVAN,11/26,131,185,202,1.41,0.13,1.54,45,44,SHOV,AMWI
DELEVAN,11/29,170,256,295,1.51,0.23,1.74,52,44,SHOV,AMWI
DELEVAN,11/30,67,218,279,3.25,0.91,4.16,73,32,MALL,GWTL
BUTTE VALLEY,11/26,23,49,49,2.13,,2.13,19,11,GWTL,SHOV
BUTTE VALLEY,11/29,19,49,51,2.58,0.11,2.68,19,9,SHOV,AMWI
BUTTE VALLEY,11/30,13,3,3,0.23,,0.23,2,1,SHOV,AMWI
FINNEY-RAMER,11/28,5,8,8,1.60,,1.60,5,2,GWTL,SHOV
FINNEY-RAMER,11/29,8,10,10,1.25,,1.25,7,3,GWTL,SHOV
FINNEY-RAMER,11/30,2,5,5,2.50,,2.50,4,1,GWTL,SHOV
COLUSA,11/26,51,80,90,1.57,0.20,1.76,20,14,MALL,SHOV
COLUSA,11/29,80,101,105,1.26,0.05,1.31,21,21,MALL,GWTL
COLUSA,11/30,63,69,73,1.10,0.06,1.16,14,12,MALL,GWTL
GADWALL (NO.GL),11/26,11,16,17,1.45,0.09,1.55,7,4,SHOV,GWTL
GADWALL (NO.GL),11/29,29,55,58,1.90,0.10,2.00,33,6,GWTL,CINT
GADWALL (NO.GL),11/30,14,45,53,3.21,0.57,3.79,15,10,GWTL,SHOV
GRAY LODGE,11/26,117,75,79,0.64,0.03,0.68,24,13,MALL,SHOV
GRAY LODGE,11/29,223,176,185,0.79,0.04,0.83,49,39,MALL,AMWI
GRAY LODGE,11/30,194,126,137,0.65,0.06,0.71,31,27,WDDU,MALL
