06-07 Harvest 
,Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,
,NORTH FRIETAS,10/28,25,65,65,2.60,,2.60,54,4,MALL,GWTL,
,NORTH FRIETAS,10/29,8,21,21,2.63,,2.63,18,2,MALL,GWTL,
,SOUTH FRIETAS,10/25,17,36,36,2.12,,2.12,22,3,MALL,GWTL,
,SOUTH FRIETAS,10/28,17,36,36,2.12,,2.12,16,12,GWTL,MALL,
,SOUTH FRIETAS,10/29,10,6,6,0.60,,0.60,3,2,GWTL,GADW,
,SALT SLOUGH (NO.GL),10/25,39,160,162,4.10,0.05,4.15,115,14,MALL,SHOV,
,SALT SLOUGH (NO.GL),10/28,47,69,69,1.47,,1.47,35,14,MALL,GWTL,
,SALT SLOUGH (NO.GL),10/29,14,39,39,2.79,,2.79,29,4,MALL,CINT,
,SALTON SEA NWR,10/25,1,0,0,,,,0,0,,,
,SALTON SEA NWR,10/28,4,6,6,1.50,,1.50,3,2,SHOV,GWTL,
,SALTON SEA NWR,10/29,4,2,2,0.50,,0.50,1,1,CINT,SHOV,
,SACRAMENTO,10/28,345,1328,1553,3.85,0.65,4.50,252,244,SHOV,MALL,
,SACRAMENTO,10/29,222,351,491,1.58,0.63,2.21,77,55,PNTL,SHOV,
,SAN JACINTO,10/25,105,315,318,3.00,,3.03,101,83,SHOV,CINT,
,SAN JACINTO,10/28,93,229,234,2.46,,2.52,52,47,SHOV,GWTL,
,SAN LUIS,10/25,72,337,341,4.68,0.06,4.74,181,65,MALL,GWTL,
,SAN LUIS,10/28,101,180,180,1.78,,1.78,98,39,GWTL,MALL,
,SAN LUIS,10/29,38,60,62,1.58,0.05,1.63,33,8,GWTL,MALL,
,SHASTA VALLEY,10/25,39,80,80,2.05,,2.05,26,17,GWTL,MALL,
,SHASTA VALLEY,10/28,33,99,101,3.00,0.06,3.06,30,26,GWTL,MALL,
,SHASTA VALLEY,10/29,22,23,23,1.05,,1.05,13,8,GWTL,PNTL,
,VOLTA,10/25,33,148,148,4.48,,4.48,76,35,MALL,SHOV,
,VOLTA,10/28,29,69,69,2.38,,2.38,30,14,MALL,SHOV,
,VOLTA,10/29,16,24,24,1.50,,1.50,10,4,MALL,PNTL,
,WILLOW CREEK,10/25,1,0,0,,,,0,0,,,
,WILLOW CREEK,10/28,2,4,4,2.00,,2.00,2,1,AMWI,MALL,
,WILLOW CREEK,10/29,6,2,2,0.33,,0.33,2,0,BUFH,,
,WISTER,10/25,88,157,158,1.78,,1.80,80,20,GWTL,SHOV,
,WISTER,10/28,136,269,283,1.98,0.01,2.08,109,37,GWTL,SHOV,
,WISTER,10/29,70,84,84,1.20,,1.20,23,16,GWTL,SHOV,
,YOLO,10/28,144,448,465,3.11,0.10,3.23,228,98,SHOV,MALL,
,YOLO,10/29,82,89,99,1.09,0.09,1.21,26,17,SHOV,MALL,
,CHINA ISLAND (NO.GL),11/1,12,11,11,0.92,,0.92,6,3,MALL,GWTL,
,CHINA ISLAND (NO.GL),11/4,22,37,37,1.68,,1.68,19,6,MALL,WDDU,
,CHINA ISLAND (NO.GL),11/5,14,23,23,1.64,,1.64,18,3,MALL,GWTL,
,ASH CREEK,11/1,5,15,16,3.00,0.20,3.20,5,4,MALL,AMWI,
,ASH CREEK,11/4,17,24,25,1.41,0.06,1.47,10,5,AMWI,BUFH,
,ASH CREEK,11/5,5,8,10,1.60,,2.00,4,2,BUFH,GWTL,
,DELEVAN,11/1,162,527,604,3.25,0.48,3.73,118,97,AMWI,GADW,
,DELEVAN,11/4,179,496,539,2.77,0.23,3.01,104,103,MALL,SHOV,
,DELEVAN,11/5,166,324,368,1.95,0.26,2.22,83,56,GWTL,MALL,
,BUTTE VALLEY,11/1,10,45,45,4.50,,4.50,19,11,GWTL,AMWI,
,BUTTE VALLEY,11/4,42,121,122,2.88,0.02,2.90,32,27,GWTL,AMWI,
,BUTTE VALLEY,11/5,10,13,13,1.30,,1.30,6,3,MALL,AMWI,
,FINNEY-RAMER,11/1,2,3,3,1.50,,1.50,2,1,GWTL,SHOV,
,FINNEY-RAMER,11/3,3,6,6,2.00,,2.00,4,1,GWTL,CINT,
,FINNEY-RAMER,11/4,4,8,8,2.00,,2.00,5,3,GWTL,SHOV,
,FINNEY-RAMER,11/5,1,3,3,3.00,,3.00,1,1,GWTL,CINT,
,COLUSA,11/1,61,142,150,2.33,0.13,2.46,32,26,MALL,SHOV,
,COLUSA,11/4,113,224,227,1.98,0.03,2.01,43,38,SHOV,RNDU,
,COLUSA,11/5,77,142,146,1.84,0.05,1.90,38,35,MALL,GWTL,
,GADWALL (NO.GL),11/1,23,42,42,1.83,,1.83,15,13,GWTL,CINT,
,GADWALL (NO.GL),11/4,34,82,83,2.41,0.03,2.44,32,16,GWTL,CINT,
,GADWALL (NO.GL),11/5,22,35,35,1.59,,1.59,10,9,GWTL,SHOV,
,GOODYEAR SLOUGH,11/1,8,4,4,0.50,,0.50,2,2,AMWI,PNTL,
,GOODYEAR SLOUGH,11/4,9,10,10,1.11,,1.11,2,2,MALL,AMWI,
,GOODYEAR SLOUGH,11/5,10,6,6,0.60,,0.60,4,1,SHOV,GWTL,
,GRAY LODGE,11/1,157,476,488,3.03,0.08,3.11,93,78,MALL,GADW,
,GRAY LODGE,11/4,327,511,537,1.56,0.04,1.64,135,84,GWTL,MALL,
,GRAY LODGE,11/5,169,244,259,1.44,0.02,1.53,45,44,WDDU,MALL,
,GRIZZLY ISLAND,11/1,71,109,127,1.54,,1.79,42,15,SHOV,MALL,
,GRIZZLY ISLAND,11/4,137,175,183,1.28,0.02,1.34,52,32,SHOV,GWTL,
,GRIZZLY ISLAND,11/5,52,71,74,1.37,0.02,1.42,21,16,SHOV,MALL,
,HONEY LAKE-DAKIN,11/1,26,148,161,5.69,0.50,6.19,41,28,MALL,AMWI,
,HONEY LAKE-DAKIN,11/4,37,123,126,3.32,0.08,3.41,33,27,MALL,GWTL,
,HONEY LAKE-DAKIN,11/5,24,20,21,0.83,,0.88,7,5,SHOV,AMWI,
,HONEY LAKE-FLEMING,11/1,15,52,52,3.47,,3.47,22,11,MALL,GWTL,
,HONEY LAKE-FLEMING,11/4,19,33,34,1.74,0.05,1.79,10,7,MALL,PNTL,
,HONEY LAKE-FLEMING,11/5,13,13,14,1.00,0.08,1.08,3,2,GWTL,MALL,
,HOWARD SLOUGH (UBB),11/1,37,92,92,2.49,,2.49,32,25,AMWI,MALL,
,HOWARD SLOUGH (UBB),11/4,55,126,126,2.29,,2.29,29,27,MALL,GWTL,
,HOWARD SLOUGH (UBB),11/5,33,80,80,2.42,,2.42,26,12,WDDU,AMWI,
,ISLAND SLOUGH,11/1,6,5,5,0.83,,0.83,4,1,MALL,SHOV,
,ISLAND SLOUGH,11/4,12,8,10,0.67,,0.83,4,2,SHOV,GWTL,
,ISLAND SLOUGH,11/5,4,0,0,,,,0,0,,,
,KESTERSON,11/1,33,33,33,1.00,,1.00,14,11,GWTL,SHOV,
,KESTERSON,11/4,64,99,102,1.55,0.05,1.59,34,30,MALL,GWTL,
,KESTERSON,11/5,33,25,25,0.76,,0.76,9,5,MALL,GWTL,
,LITTLE DRY CR. (UBB),11/1,67,258,264,3.85,0.09,3.94,91,60,MALL,AMWI,
,LITTLE DRY CR. (UBB),11/4,89,214,215,2.40,0.01,2.42,63,48,MALL,WDDU,
,LITTLE DRY CR. (UBB),11/5,69,126,128,1.83,0.03,1.86,45,20,MALL,AMWI,
,LLANO SECO (UBB),11/1,22,44,44,2.00,,2.00,17,6,AMWI,WDDU,
,LLANO SECO (UBB),11/4,32,55,55,1.72,,1.72,22,8,AMWI,CINT,
,LLANO SECO (UBB),11/5,14,17,17,1.21,,1.21,5,5,GWTL,SHOV,
,LOS BANOS,11/1,61,125,125,2.05,,2.05,42,34,MALL,GWTL,
,LOS BANOS,11/4,111,335,338,3.02,0.03,3.05,113,104,GWTL,MALL,
,LOS BANOS,11/5,62,69,69,1.11,,1.11,32,8,MALL,GWTL,
,MENDOTA,11/1,97,133,145,1.37,0.01,1.49,32,23,SHOV,MALL,
,MENDOTA,11/4,200,521,532,2.61,0.05,2.66,195,94,GWTL,MALL,
,MENDOTA,11/5,127,205,215,1.61,0.03,1.69,58,41,GWTL,MALL,
,MERCED,11/1,15,39,39,2.60,,2.60,18,7,SHOV,MALL,
,MERCED,11/4,23,32,32,1.39,,1.39,20,3,MALL,PNTL,
,NORTH FRIETAS,11/1,8,10,10,1.25,,1.25,6,2,MALL,GWTL,
,NORTH FRIETAS,11/4,17,47,47,2.76,,2.76,37,4,MALL,GWTL,
,NORTH FRIETAS,11/5,11,33,33,3.00,,3.00,19,11,MALL,GWTL,
,SOUTH FRIETAS,11/1,6,14,14,2.33,,2.33,8,6,MALL,GWTL,
,SOUTH FRIETAS,11/4,20,28,28,1.40,,1.40,12,9,MALL,GWTL,
,SOUTH FRIETAS,11/5,8,4,4,0.50,,0.50,3,1,MALL,GADW,
,SALT SLOUGH (NO.GL),11/1,28,28,28,1.00,,1.00,17,8,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/4,46,56,56,1.22,,1.22,28,16,MALL,GWTL,
,SALT SLOUGH (NO.GL),11/5,24,31,31,1.29,,1.29,10,8,MALL,PNTL,
,SALTON SEA NWR,11/1,3,6,6,2.00,,2.00,4,1,RNDU,SCAU,
,SALTON SEA NWR,11/4,11,12,23,1.09,1.00,2.09,6,4,SHOV,GWTL,
,SALTON SEA NWR,11/5,3,0,4,,1.33,1.33,0,10,,,
,SACRAMENTO,11/1,168,565,639,3.36,0.44,3.80,132,100,AMWI,SHOV,
,SACRAMENTO,11/4,197,593,659,3.01,0.32,3.35,112,94,AMWI,SHOV,
,SACRAMENTO,11/5,159,300,322,1.89,0.14,2.03,53,53,MALL,SHOV,
,SAN JACINTO,11/1,109,256,261,2.35,,2.39,77,47,GWTL,CINT,
,SAN JACINTO,11/4,109,164,168,1.50,0.03,1.54,38,29,GWTL,SHOV,
,SAN LUIS,11/1,59,106,106,1.80,,1.80,65,19,GWTL,MALL,
,SAN LUIS,11/4,99,135,135,1.36,,1.36,59,37,GWTL,MALL,
,SAN LUIS,11/5,42,40,41,0.95,0.02,0.98,15,14,GWTL,MALL,
,SHASTA VALLEY,11/1,22,81,82,3.68,,3.73,26,21,GWTL,MALL,
,SHASTA VALLEY,11/4,38,84,85,2.21,0.03,2.24,21,20,GWTL,MALL,
,SHASTA VALLEY,11/5,5,5,12,1.00,,2.40,2,1,GWTL,MALL,
,SUTTER,11/1,90,154,161,1.71,0.08,1.79,64,34,MALL,AMWI,
,SUTTER,11/4,94,176,178,1.87,0.02,1.89,70,28,MALL,GWTL,
,SUTTER,11/5,82,134,143,1.63,0.11,1.74,45,18,MALL,GWTL,
,VOLTA,11/1,30,24,25,0.80,,0.83,7,6,MALL,SHOV,
,VOLTA,11/4,32,62,62,1.94,,1.94,23,13,MALL,CINT,
,VOLTA,11/5,11,15,15,1.36,,1.36,6,6,MALL,SHOV,
,WILLOW CREEK,11/1,7,23,23,3.29,,3.29,9,6,GWTL,MALL,
,WILLOW CREEK,11/4,8,32,33,4.00,,4.13,10,6,MALL,AMWI,
,WILLOW CREEK,11/5,6,10,13,1.67,0.33,2.17,4,3,MALL,AMWI,
,WISTER,11/1,62,175,195,2.82,0.32,3.15,50,43,SHOV,AMWI,
,WISTER,11/4,146,372,410,2.55,0.25,2.81,109,106,AMWI,SHOV,
,WISTER,11/5,85,48,53,0.56,0.06,0.62,12,11,GWTL,SHOV,
,YOLO,11/1,84,124,139,1.48,0.08,1.65,45,20,SHOV,MALL,
,YOLO,11/4,111,131,167,1.18,0.07,1.50,33,26,SHOV,MALL,
,YOLO,11/5,89,43,54,0.48,0.01,0.61,22,4,SHOV,GADW,
,YOLO,11/6,68,73,90,1.07,0.03,1.32,13,13,MALL,SHOV,
,WEST FAMILY JR,11/1,2,1,1,0.50,,0.50,1,0,SHOV,,
,WEST FAMILY JR,11/4,0,0,0,,,,0,0,,,
,WEST FAMILY JR,11/5,2,1,1,0.50,,0.50,1,0,SHOV,,
,ASH CREEK,11/8,6,11,11,1.83,,1.83,7,2,AMWI,GADW,
,ASH CREEK,11/11,26,17,17,0.65,,0.65,13,2,BUFH,GADW,
,ASH CREEK,11/12,11,2,2,0.18,,0.18,1,1,MALL,BUFH,
,DELEVAN,11/8,135,324,354,2.40,0.22,2.62,91,73,MALL,AMWI,
,DELEVAN,11/11,200,634,677,3.17,0.22,3.39,200,133,MALL,AMWI,
,DELEVAN,11/12,178,353,409,1.98,0.31,2.30,70,70,GADW,SHOV,
,BUTTE VALLEY,11/8,20,42,43,2.10,0.05,2.15,11,7,GWTL,AMWI,
,BUTTE VALLEY,11/11,37,147,149,3.97,0.05,4.03,57,34,GWTL,SHOV,
,BUTTE VALLEY,11/12,14,22,22,1.57,,1.57,8,7,MALL,SHOV,
,FINNEY-RAMER,11/8,3,4,4,1.33,,1.33,2,1,GWTL,CINT,
,FINNEY-RAMER,11/9,1,3,3,3.00,,3.00,2,1,GWTL,SHOV,
,FINNEY-RAMER,11/10,3,5,5,1.67,,1.67,5,0,GWTL,,
,FINNEY-RAMER,11/11,5,9,9,1.80,,1.80,8,1,GWTL,SHOV,
,FINNEY-RAMER,11/12,2,4,4,2.00,,2.00,2,1,SHOV,GWTL,
,COLUSA,11/8,64,101,103,1.58,0.03,1.61,38,16,MALL,GADW,
,COLUSA,11/11,99,227,232,2.29,0.05,2.34,52,51,MALL,SHOV,
,COLUSA,11/12,68,88,92,1.29,0.06,1.35,23,22,MALL,GADW,
,GADWALL (NO.GL),11/8,14,24,24,1.71,,1.71,7,5,SHOV,GWTL,
,GADWALL (NO.GL),11/11,19,53,53,2.79,,2.79,24,14,CINT,SHOV,
,GADWALL (NO.GL),11/12,19,47,49,2.47,0.11,2.58,20,10,SHOV,CINT,
,GOLD HILLS,11/8,3,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,11/8,13,7,7,0.54,,0.54,4,2,AMWI,MALL,
,GOODYEAR SLOUGH,11/11,9,10,10,1.11,,1.11,5,3,SHOV,MALL,
,GOODYEAR SLOUGH,11/12,7,5,5,0.71,,0.71,2,2,MALL,SCAU,
,GRAY LODGE,11/8,144,172,190,1.19,0.03,1.32,48,25,MALL,AMWI,
,GRAY LODGE,11/11,549,173,175,0.32,0.004,0.32,48,27,MALL,SHOV,
,GRAY LODGE,11/12,326,126,152,0.39,0.02,0.47,28,18,MALL,WDDU,
,GRIZZLY ISLAND,11/8,72,149,152,2.07,,2.11,45,25,SHOV,MALL,
,GRIZZLY ISLAND,11/11,349,193,197,0.55,0.003,0.56,79,34,SHOV,MALL,
,GRIZZLY ISLAND,11/12,124,23,23,0.19,,0.19,7,6,SHOV,PNTL,
,HONEY LAKE-DAKIN,11/8,39,118,118,3.03,,3.03,52,30,MALL,AMWI,
,HONEY LAKE-DAKIN,11/11,58,56,58,0.97,0.03,1.00,25,12,MALL,GADW,
,HONEY LAKE-DAKIN,11/12,27,10,10,0.37,,0.37,6,2,AMWI,GADW,
,HONEY LAKE-FLEMING,11/8,28,74,77,2.64,0.11,2.75,27,21,MALL,GADW,
,HONEY LAKE-FLEMING,11/11,67,50,50,0.75,,0.75,18,11,GADW,MALL,
,HONEY LAKE-FLEMING,11/12,43,14,14,0.33,,0.33,5,3,GADW,MALL,
,HOWARD SLOUGH (UBB),11/8,28,47,47,1.68,,1.68,27,6,MALL,AMWI,
,HOWARD SLOUGH (UBB),11/11,88,78,78,0.89,,0.89,30,14,MALL,GWTL,
,HOWARD SLOUGH (UBB),11/12,75,26,26,0.35,,0.35,9,9,MALL,WDDU,
,ISLAND SLOUGH,11/8,8,9,10,1.13,,1.25,3,2,MALL,GADW,
,ISLAND SLOUGH,11/11,19,10,10,0.53,,0.53,5,3,SHOV,MALL,
,ISLAND SLOUGH,11/12,7,3,3,0.43,,0.43,2,1,MALL,SHOV,
,KESTERSON,11/8,38,32,32,0.84,,0.84,10,9,SHOV,GWTL,
,KESTERSON,11/11,75,82,82,1.09,,1.09,29,24,GWTL,SHOV,
,KESTERSON,11/12,33,18,19,0.55,0.03,0.58,10,5,SHOV,MALL,
,LITTLE DRY CR. (UBB),11/8,64,198,209,3.09,0.17,3.27,104,31,MALL,WDDU,
,LITTLE DRY CR. (UBB),11/11,115,259,261,2.25,0.02,2.27,110,38,MALL,GADW,
,LITTLE DRY CR. (UBB),11/12,109,121,123,1.11,0.02,1.13,66,17,MALL,AMWI,
,LLANO SECO (UBB),11/8,25,24,24,0.96,,0.96,7,7,MALL,SHOV,
,LLANO SECO (UBB),11/11,55,60,60,1.09,,1.09,18,12,GWTL,AMWI,
,LLANO SECO (UBB),11/12,22,16,16,0.73,,0.73,7,5,AMWI,GWTL,
,LOS BANOS,11/8,57,70,70,1.23,,1.23,36,9,MALL,GADW,
,LOS BANOS,11/11,154,105,107,0.68,0.006,0.69,38,17,MALL,GWTL,
,LOS BANOS,11/12,93,43,44,0.46,0.01,0.47,18,9,MALL,SHOV,
