Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
SACRAMENTO,1/11,203,776,55,831,3.82,0.27,4.09,GADW,NSHO
SACRAMENTO,1/12,130,324,72,396,2.49,0.55,3.05,GADW,MALL
SUTTER,1/11,92,464,87,551,5.04,0.95,5.99,AMWI,MALL
SUTTER,1/12,105,331,59,390,3.15,0.56,3.71,AMWI,MALL
DELEVAN,1/22,169,947,193,1140,5.6,1.14,6.75,GADW,AMWI
DELEVAN,1/25,147,712,210,922,4.84,1.43,6.27,GADW,NSHO
DELEVAN,1/26,166,521,154,675,3.14,0.93,4.07,GADW,NSHO
GRAY LODGE,1/22,218,1027,118,1145,4.71,0.54,5.25,MALL,GADW
GRAY LODGE,1/25,414,1561,83,1644,3.77,0.2,3.97,GADW,AMWI
GRAY LODGE,1/26,294,696,125,821,2.37,0.43,2.79,GADW,AMWI
SACRAMENTO,1/22,144,625,176,801,4.34,1.22,5.56,GADW,NSHO
SACRAMENTO,1/25,250,772,226,998,3.09,0.9,3.99,NSHO,GADW
SACRAMENTO,1/26,198,388,252,640,1.96,1.27,3.23,GADW,MALL
SAN JACINTO,1/22,136,292,0,299,2.15,0,2.2,AGWT,NSHO
SAN JACINTO,1/25,158,305,0,313,1.93,0,1.98,AGWT,NSHO
SAN LUIS,1/22,56,112,0,112,2,0,2,AGWT,MALL
SAN LUIS,1/25,116,199,9,210,1.72,0.08,1.81,AGWT,MALL
SAN LUIS,1/26,33,57,5,63,1.73,0.16,1.91,AGWT,MALL
SUTTER,1/22,60,123,21,145,2.05,0.35,2.42,AGWT,MALL
SUTTER,1/25,110,361,85,446,3.28,0.77,4.05,MALL,AMWI
SUTTER,1/26,38,38,0,38,1,0,1,AGWT,MALL
